product,rating,rating count,price,product url
Men's Full-Zip Polar Fleece Jacket (Available in Big & Tall)  ,4.5 out of 5 stars,"38,504  ",28.5,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0215454X3873552LV0A&qualifier=1682035541&id=1092708059909814&widgetName=sp_atf&url=%2FAmazon-Essentials-Full-Zip-Fleece-Burgundy%2Fdp%2FB08SX5XH6S%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Djacket%26qid%3D1682035541%26sr%3D8-1-spons%26psc%3D1
"Men's Hoodie, EcoSmart Fleece Zip-Front Hooded Sweatshirt, Cotton-Blend Fleece Hooded Sweatshirt, Mid-Weight Zip-Up  ",4.6 out of 5 stars,"114,874  ",18.0,https://amazon.com/Hanes-EcoSmart-Fleece-Hoodie-Black/dp/B00JUM4D0C/ref=sr_1_2?keywords=jacket&qid=1682035541&sr=8-2
"XX-Large Full-Zip Hooded, EcoSmart Sweatshirt, Women's Comfortable Hoodie  ",4.4 out of 5 stars,"34,249  ",16.0,https://amazon.com/Hanes-Womens-Full-White-Medium/dp/B01B77W0AM/ref=sr_1_3?keywords=jacket&qid=1682035541&sr=8-3
Women's Stretch Denim Jacket  ,4.6 out of 5 stars,"15,763  ",36.7,https://amazon.com/Wrangler-Authentics-Womens-Jacket-Weathered/dp/B012OV0QM4/ref=sr_1_4?keywords=jacket&qid=1682035541&sr=8-4
Men's Slim Fit Lightweight Sportswear Jacket Casual Bomber Jacket  ,4.5 out of 5 stars,"6,599  ",39.99,https://amazon.com/URBANFIND-Lightweight-Sportswear-Jacket-Casual/dp/B06XKS972D/ref=sr_1_5?keywords=jacket&qid=1682035541&sr=8-5
Women's Classic-Fit Long-Sleeve Full-Zip Polar Soft Fleece Jacket (Available in Plus Size)  ,4.5 out of 5 stars,"46,380  ",23.92,https://amazon.com/Amazon-Essentials-Womens-Full-Zip-Fleece/dp/B073SMG44X/ref=sr_1_6?keywords=jacket&qid=1682035541&sr=8-6
Men's Long Sleeve Quilted Lined Flannel Shirt Jacket with Hood  ,4.6 out of 5 stars,4.6 out of 5 stars ,32.69,https://amazon.com/Wrangler-Authentics-Quilted-Flannel-Eclipse/dp/B01L7B4V28/ref=sr_1_7?keywords=jacket&qid=1682035541&sr=8-7
Men's Full-Zip Polar Fleece Jacket (Available in Big & Tall)  ,4.5 out of 5 stars,"38,505  ",28.5,https://amazon.com/Amazon-Essentials-Full-Zip-Fleece-X-Large/dp/B073G9YNBR/ref=sr_1_8?keywords=jacket&qid=1682035541&sr=8-8
Men's Packable Lightweight Water-Resistant Puffer Jacket (Available in Big & Tall)  ,4.5 out of 5 stars,"26,047  ",35.0,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07BN3XQ4R/ref=sr_1_9?keywords=jacket&qid=1682035541&sr=8-9
Women's Cute Hoodies Teen Girl Fall Jacket Oversized Sweatshirts Casual Drawstring Clothes Zip Up Y2K Hoodie with Pocket  ,4.4 out of 5 stars,"4,008  ",42.99,https://amazon.com/EFAN-Oversized-Sweatshirts-Drawstring-Hoodies/dp/B09D2L9814/ref=sr_1_10?keywords=jacket&qid=1682035541&sr=8-10
Men's Glennaker Lake Rain Jacket  ,4.6 out of 5 stars,"20,645  ",45.0,https://amazon.com/Columbia-Glennaker-Packable-Jacket-Medium/dp/B0058YHKDI/ref=sr_1_11?keywords=jacket&qid=1682035541&sr=8-11
Men's Auburn Zip-Front Golf Jacket (Regular & Big-Tall Sizes)  ,4.5 out of 5 stars,"13,629  ",44.86,https://amazon.com/London-Fog-Zip-Front-Regular-Big-Tall/dp/B003DTLU9K/ref=sr_1_12?keywords=jacket&qid=1682035541&sr=8-12
Men's Outdoor Waterproof Soft Shell Hooded Military Tactical Jacket  ,4.5 out of 5 stars,"4,144  ",53.99,https://amazon.com/FREE-SOLDIER-Waterproof-Military-XXXX-Large/dp/B07QG8QK14/ref=sr_1_13?keywords=jacket&qid=1682035541&sr=8-13
Men's Steens Mountain 2.0 Full Zip Fleece Jacket  ,4.5 out of 5 stars,232  ,39.92,https://amazon.com/Columbia-Granite-Mountain-Fleece-X-Large/dp/B00VG8L2Q6/ref=sr_1_14?keywords=jacket&qid=1682035541&sr=8-14
Men's Washed Cotton Hooded Military Jacket  ,4.6 out of 5 stars,"8,405  ",65.9,https://amazon.com/Washed-Cotton-Hooded-Military-Jacket/dp/B00JB8Q01U/ref=sr_1_15?keywords=jacket&qid=1682035541&sr=8-15
Baby Toddler Girls Basic Denim Jacket  ,4.8 out of 5 stars,"16,808  ",9.98,https://amazon.com/Childrens-Place-Girls-Jacket-Months/dp/B01FWONA46/ref=sr_1_16?keywords=jacket&qid=1682035541&sr=8-16
